SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50438.61*A,AIRPORT,GGV,09/20/2012,AAL,NONE,AK,ALASKA,BETHEL,AK,KWIGILLINGOK,KWIGILLINGOK,PU,PU,KWIK INCORPORATED,PO BOX 50,KWIGILLINGOK- AK 99622,    907-588-8112,DAVID CUMMINGS,BOX 505,BETHEL- AK 99559,    907-543-2495,59-52-35.2900N,215555.2900N,163-10-06.7350W,587406.7350W,E,18,E,14E,2005,,BETHEL,0,S,  379,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,09/01/1976,O,,NGY,NO OBJECTION,N,N,N,Y,C,C,6112009,2021987,,NONE,NONE,NONE,NONE,,,N,,122.7,N,,N,,0,0,0,0,,,,,,,,,,06/11/2009,NACO,2003-03-11 00:00:00.0,NACO,2003-03-11 00:00:00.0,,,,Y
50439.*A,AIRPORT,Z55,09/20/2012,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,LAKE LOUISE,LAKE LOUISE,PU,PU,STATE OF AK DOTPF-N RGN,2301 PEGER ROAD,FAIRBANKS- AK 99701,    907-451-2200,JOHN HOFFMAN,PO BOX 7,GLENNALLEN- AK 99588,    907-822-3222,62-17-26.8400N,224246.8400N,146-34-34.7700W,527674.7700W,E,2477,E,27E,1985,,ANCHORAGE,1,NE,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,02/01/1958,O,,N,NO OBJECTION,N,N,N,Y,C,C,7012006,,,NONE,NONE,NONE,NONE,,,N,,122.9,Y,,N,,,,,,,,,,,100,100,100,,08/31/2011,STATE,2011-09-23 00:00:00.0,STATE,2011-09-23 00:00:00.0,,,,Y
50439.1*C,SEAPLANE BASE,13S,09/20/2012,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,LAKE LOUISE,LAKE LOUISE,PR,PU,EVERGREEN LODGE,HC1 BOX 1760,GLENNALLEN- AK 99588,    907-822-3250,DENNIS OAKLAND,EVERGREEN LODGE- HC1 BOX 1760,GLENALLEN- AK 99588,    907-822-3250,62-16-58.2790N,224218.2790N,146-31-07.9210W,527467.9210W,E,2362,E,27E,1985,,ANCHORAGE,0,E,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,08/01/1963,O,,,NO OBJECTION,N,N,N,N,S,S,9112011,,MOGAS,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,2,,,,,,,,,,500,600,,12/31/2010,,,,,,,,Y
50439.71*A,AIRPORT,2A3,09/20/2012,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,LARSEN BAY,LARSEN BAY,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,POUCH 196900,ANCHORAGE- AK 99519-6900,    907-269-0747,ROBERT GREENE,1500 ANTON LARSON RD.,KODIAK- AK 99615,    907-487-4952,57-32-06.3000N,207126.3000N,153-58-36.0000W,554316.0000W,E,87,E,21E,1985,,KODIAK,0,SW,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,,O,,NGY,NO OBJECTION,N,N,,Y,F,C,6132007,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.8,Y,CG,N,,0,0,0,0,,,,0,,1950,1500,280,,12/31/2006,NGS,2007-06-14 00:00:00.0,NGS,2007-06-14 00:00:00.0,,,,Y
50447.*A,AIRPORT,9Z9,09/20/2012,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,LAWING,LAWING,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,POUCH 196900,ANCHORAGE- AK 99519-6900,    907-269-0770,KARL HORST/CARL HIGH,STATE OF AK DOTPF- P.O. BOX 1327,SOLDOTNA- AK 99669,    907-262-2199,60-24-39.9470N,217479.9470N,149-22-12.7060W,537732.7060W,E,475,E,25E,1985,,ANCHORAGE,1,N,   21,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,,O,,,NOT ANALYZED,N,N,N,Y,S,S,6172011,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,1,,,,,,,,,100,100,500,,05/31/2011,,,,,,TIE,CARGO,Y
50448.*C,SEAPLANE BASE,ALZ,09/20/2012,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,LAZY BAY,ALITAK,PR,PU,COLUMBIA WARD FISHERIES,303 E N LAKEWAY,SEATTLE- WA 98105,,,,,,56-53-58.1540N,204838.1540N,154-14-52.2480W,555292.2480W,E,0,E,21E,1985,,KODIAK,0,S,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,05/01/1962,O,,,NOT ANALYZED,N,N,N,N,S,C,6132007,,,NONE,NONE,NONE,NONE,,,N,,122.8,N,,N,,,,,,,,,,,50,,,,12/31/2006,,,,,,,,N
50449.01*A,AIRPORT,9Z8,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,LEVELOCK,LEVELOCK,PU,PU,STATE OF ALASKA-,P. O. BOX 146900,ANCHORAGE- AK 99519,    907-269-0767,JAY KNIGHT,P. O. BOX 65,KING SALMON- AK 99613,    907-246-3325,59-07-41.1000N,212861.1000N,156-51-31.1000W,564691.1000W,E,39,,18E,2000,,KODIAK,1,N,  195,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,06/01/2002,O,,NGY,CONDITIONAL,,,,,,C,7112009,8162001,,,,,,SEE RMK,SS-SR,N,122.95,122.9,Y,CG,,,0,,,,,,,,,512,204,750,,12/31/2009,OWNER,2001-12-28 00:00:00.0,OWNER,2001-12-28 00:00:00.0,,,,Y-L
50449.5*A,AIRPORT,2AK,09/20/2012,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,LIME VILLAGE,LIME VILLAGE,PU,PU,STATE OF AK DOTPF,PO BOX 196900,ANCHORAGE- AK 99519-6900,    907-745-2102,DOUGLAS LYMAN,PO BOX 21,MCGRATH- AK 99627,    907-524-3241,61-21-32.8700N,220892.8700N,155-26-25.3900W,559585.3900W,E,545,E,22E,1985,,MC GRATH,0,N,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,06/01/1979,O,,N,NO OBJECTION,,,,Y,C,C,5282009,,,,,,,,,N,,122.9,N,,N,,0,0,0,0,,,,,,440,,,,05/28/2009,STATE,2010-06-09 00:00:00.0,STATE,2010-06-09 00:00:00.0,,,,Y
50451.*A,AIRPORT,4AK,09/20/2012,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,LIVENGOOD,LIVENGOOD CAMP,PU,PU,STATE OF AK DOTPF,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-2200,JEFF RUSSELL,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-2207,65-28-21.4240N,235701.4240N,148-40-09.0160W,535209.0160W,E,425,E,27E,1985,,FAIRBANKS,0,E,,ZAN,ZAN,ANCHORAGE,,,,,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,Y,07/01/1975,O,,,NO OBJECTION,N,N,,Y,S,C,9102009,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,100,,,,12/31/2005,,,,,,,,Y
50453.*A,AIRPORT,AK71,09/20/2012,AAL,NONE,AK,ALASKA,BARROW,AK,LONELY,LONELY AS,MA,PR,U.S. AIR FORCE,611TH AIR SUPPORT GROUP- 10471 20TH STREET- SUTIE 361,ELMENDORF AFB- AK 99506,    907-552-3442,NICK HILTON,611TH AIR SUPPORT SQUADRON- 10471 20TH STREET- SUTIE 222,ELMENDORF AFB- AK 99506,    907-552-4400,70-54-38.6830N,255278.6830N,153-14-31.9740W,551671.9740W,E,17,E,28E,1985,,POINT BARROW,0,N,,ZAN,ZAN,ANCHORAGE,,,,N,BRW,BARROW,907-852-2511,LC852-2511,FAI,FAIRBANKS,1-866-248-6516,BRW,Y,,O,,,NOT ANALYZED,N,N,N,,,F,7121977,5182007,,NONE,NONE,NONE,NONE,,SEE RMK,N,,126.2,N,CG,N,,,,,,,,,,,,15000,500,,07/12/1977,,,,,,,CARGO,Y
50454.5*A,AIRPORT,4AK3,09/20/2012,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,LONG LAKE,LONG LAKE,PR,PR,C COLLINS,BOX 698,CORDOVA- AK 99574,,,,,,61-22-40.3770N,220960.3770N,143-19-33.4500W,515973.4500W,E,1500,E,28E,1985,,ANCHORAGE,0,W,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,08/01/1963,O,,,NO OBJECTION,N,N,N,N,2,F,7071971,,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,,,,,,,,,,10,10,25,,07/07/1971,,,,,,,,N
50455.6*C,SEAPLANE BASE,13Z,09/20/2012,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,LORING,LORING,PU,PU,KETCHIKAN GATEWAY BOROUGH,1900 1ST AVENUE STE 210,KETCHIKAN- AK 99901-6059,    907-228-6625,RICHARD STAGE- CHAIRMAN,LORING SERVICE AREA BOARD- 237 BROWN WAY,KETCHIKAN- AK 99901,    907-225-5859,55-36-04.7010N,200164.7010N,131-38-12.0590W,473892.0590W,E,0,E,26E,1985,,KETCHIKAN,0,S,,ZAN,ZAN,ANCHORAGE,,,,N,KTN,KETCHIKAN,907-225-9481,LC225-9481,JNU,JUNEAU,1-800-WX-BRIEF,KTN,Y,04/01/1962,O,,,NO OBJECTION,N,N,N,N,S,C,9042010,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,50,20,0,,05/31/2011,,,,,,,,N
50456.1*A,AIRPORT,AK45,09/20/2012,AAL,NONE,AK,ALASKA,NOME,AK,LOST RIVER,LOST RIVER 2,PR,PR,LOST RIVER MINING CO.,3512 CAMPBELL AIRSTRIP RD.,ANCHORAGE- AK 99504,    907-333-1602,RON SHEALDOWN,3512 CAMPBELL AIRSTRIP RD.,ANCHORAGE- AK 99504,    907-333-1602,65-27-22.2000N,235642.2000N,167-10-31.7750W,601831.7750W,E,220,E,16E,1985,,NOME,,,,ZAN,ZAN,ANCHORAGE,,,,N,OME,NOME,LC 443-2291,1-800-478-8400,FAI,FAIRBANKS,1-866-248-6516,,N,07/01/1951,O,,,NOT ANALYZED,N,N,N,N,2,C,10191991,,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,,,,,,,,,,,,25,,10/19/1991,,,,,,,,Y
50474.*A,AIRPORT,4AK5,09/20/2012,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,MANKOMEN LAKE,MANKOMEN LAKE,PR,PR,THOMAS R & DIANA M MILLER,BOX 211211,AUKE BAY- AK 99821-1211,    907-789-5253,THOMAS R & DIANA M MILLER,BOX 211211,AUKE BAY- AK 99821-1211,    907-789-5253,62-59-23.5760N,226763.5760N,144-28-47.9960W,520127.9960W,E,3050,E,28E,1985,,ANCHORAGE,0,NE,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,N,,O,,,NO OBJECTION,N,N,N,N,2,N,,11302010,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,2,,,,,,,,,50,150,100,,07/21/1977,,,,,,,CARGO,
50475.*A,AIRPORT,MLY,09/20/2012,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,MANLEY HOT SPRINGS,MANLEY HOT SPRINGS,PU,PU,STATE OF AK DOTPF,2301 PEGER ROAD,FAIRBANKS- AK 99709,    907-451-2200,JAJEFF RUSSELL,2301 PEGER RD,FAIRBANKS- AK 99709,    907-451-2207,64-59-51.2330N,233991.2330N,150-38-38.8670W,542318.8670W,E,270,S,26E,1985,,FAIRBANKS,0,SW,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,MLY,Y,11/01/1949,O,,N,NO OBJECTION,N,N,,Y,C,C,9092009,3121986,100LL,MINOR,MINOR,NONE,NONE,,,N,122.8,122.8,N,,N,,7,0,0,0,,,,,,500,800,400,,12/31/2005,,,NACO,1970-04-02 00:00:00.0,,,CARGO,Y
50476.*A,AIRPORT,MBA,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,MANOKOTAK,MANOKOTAK,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,POUCH 196900,ANCHORAGE- AK 99519-6900,    907-269-0767,NORMAN HAYANO,BOX 250,DILLINGHAM- AK 99576,    907-842-5511,58-55-55.4100N,212155.4100N,158-54-06.8300W,572046.8300W,E,100,E,16E,2005,,KODIAK,6,SE,  330,ZAN,ZAN,ANCHORAGE,,,,N,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,MBA,Y,08/01/1971,O,,NGY,NO OBJECTION,N,N,N,Y,F,C,7102009,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.9,Y,CG,N,,0,,,,,,,,,4100,200,,,12/31/2009,FAA-EST,2008-10-17 00:00:00.0,FAA-EST,2008-10-17 00:00:00.0,,,CARGO,Y-L
50480.01*A,AIRPORT,MDM,09/20/2012,AAL,NONE,AK,ALASKA,WADE HAMPTON,AK,MARSHALL,MARSHALL DON HUNTER SR,PU,PU,STATE OF ALASKA,NORTHERN REGION- 2301 PEGER ROAD,FAIRBANKS- AK 99709,    907-451-2200,ERIK WEINGARTH,PO BOX 135,ST MARY'S- AK 99658,    907-438-2416,61-51-51.0000N,222711.0000N,162-01-34.0000W,583294.0000W,E,115,S,13E,2015,,BETHEL,2,SE,  400,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,MDM,Y,03/01/2003,O,,,CONDITIONAL,,,,,S,C,6152009,3132003,,,,,,SEE RMK,,N,,122.9,Y,CG,,,,,,,,,,,,,,,,06/15/2009,3RD PARTY SURVEY,2010-06-17 00:00:00.0,3RD PARTY SURVEY,2010-06-17 00:00:00.0,,TIE,,Y-L
50482.*A,AIRPORT,MYK,09/20/2012,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,MAY CREEK,MAY CREEK,PU,PU,STATE OF AK DOTPF,2301 PEGER ROAD,FAIRBANKS- AK 99701,    907-451-2200,JOHN HOFFMAN,PO BOX 7,GLENALLEN- AK 99588,    907-822-3222,61-20-08.4270N,220808.4270N,142-41-12.3900W,513672.3900W,E,1650,E,28E,1985,,ANCHORAGE,1,S,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,07/01/1950,O,,N,NO OBJECTION,N,N,N,Y,F,C,7302006,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,150,,200,,12/31/2005,,,,,,,,Y
50482.01*A,AIRPORT,0AK5,09/20/2012,AAL,NONE,AK,ALASKA,VALDEZ-CORDOVA,AK,MAY CREEK,YOUNG CREEK,PR,PR,GARY BOSLOUGH,1733 W 13TH AVENUE,ANCHORAGE- AK 99501,    907-274-5756,GARY BOSLOUGH,1733 W 13TH AVENUE,ANCHORAGE- AK 99501,    907-274-5756,61-21-23.4500N,220883.4500N,142-44-00.4000W,513840.4000W,E,1580,,,,,ANCHORAGE,3,W,,ZAN,ZAN,ANCHORAGE,,,,,SIT,SITKA,907-966-2221,1-800-478-6300,JNU,JUNEAU,1-800-WX-BRIEF,,,04/01/2004,O,,,NO OBJECTION,,,,,2,N,,3252011,,,,,,,,N,,,N,,,,1,,,,,,,,,,,,,,OWNER,2003-10-22 00:00:00.0,OWNER,2003-10-22 00:00:00.0,,,,
50465.*A,AIRPORT,AK0,09/20/2012,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,MCCARTHY,JAKES BAR,PU,PU,WRANGLE ST. ELIAS NATIONAL PARK,BOX 493,COPPER CENTER- AK 99573,    907-822-7250,DANNY ROSENKRANS,BOX 493,COPPER CENTER- AK 99573,    907-822-7240,61-13-07.3980N,220387.3980N,142-53-23.3710W,514403.3710W,E,1052,E,28E,1985,,ANCHORAGE,13,SE,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,07/01/1952,O,,,NO OBJECTION,N,N,N,N,F,C,7302006,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,50,,50,,12/31/2005,,,NACO,1970-04-08 00:00:00.0,,,CARGO,N
50464.01*A,AIRPORT,15Z,09/20/2012,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,MCCARTHY,MC CARTHY,PU,PU,STATE OF AK DOTPF N RGN,2301 PEGER ROAD,FAIRBANKS- AK 99709,    907-451-2200,JOHN HOFFMAN,PO BOX 7,GLENALLEN- AK 99588,    907-822-3222,61-26-13.4190N,221173.4190N,142-54-13.4540W,514453.4540W,E,1531,E,28E,1985,,ANCHORAGE,1,NE,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,MXY,Y,,O,,N,NO OBJECTION,N,N,N,Y,F,F,5272010,,,NONE,NONE,NONE,NONE,,,N,,122.9,Y,,N,,0,0,0,0,,,,,,500,500,400,,01/01/2010,,,,,,,CARGO,Y
50464.1*A,AIRPORT,AK31,09/20/2012,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,MCCARTHY,SWIFT CREEK,PR,PR,JAMES H. EDWARDS - MC CARTHY 14,PO BOX MXY - #14,GLENNALLEN- AK 99588,,JAMES H. EDWARDS - MC CARTHY 14,PO BOX MXY - #14,GLENNALLEN- AK 99558,    907-554-4414,61-24-40.4080N,221080.4080N,143-00-04.4460W,514804.4460W,E,1225,E,27E,1995,,ANCHORAGE,3,SW,   27,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,,02/01/2000,O,,,NO OBJECTION,,,,,2,N,2012000,11182010,,,,,,,,N,,,N,,,,3,,,,,,,,,,,,,,,,,,,,,
50467.*A,AIRPORT,MCG,09/20/2012,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,MCGRATH,MC GRATH,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,PO 196900,ANCHORAGE- AK 99519-6900,    907-269-0782,DOUGLAS LYMAN,BOX 21,MCGRATH- AK 99627,    907-524-3241,62-57-10.0200N,226630.0200N,155-36-25.3600W,560185.3600W,E,341,S,19E,2005,,MC GRATH,0,W,  641,ZAN,ZAN,ANCHORAGE,,,,Y,MCG,MCGRATH,907-524-3611,LD524-3611,ENA,KENAI,1-866-864-1737,MCG,Y,08/01/1947,O,,NGY,NO OBJECTION,N,N,N,Y,F,C,5172009,,100LLA1+,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,11,0,0,0,,,,,,9000,1000,1000,,05/17/2009,STATE,2009-10-15 00:00:00.0,STATE,2009-10-15 00:00:00.0,,HGR-TIE,CARGO,Y-L
50467.1*C,SEAPLANE BASE,16Z,09/20/2012,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,MCGRATH,MC GRATH,PU,PU,PUBLIC DOMAIN,,,,,,,,62-57-28.7460N,226648.7460N,155-35-35.4450W,560135.4450W,E,325,E,23E,1985,,MC GRATH,0,E,,ZAN,ZAN,ANCHORAGE,,,,N,MCG,MCGRATH,907-524-3611,LD524-3611,ENA,KENAI,1-866-864-1737,MCG,Y,07/01/1967,O,,,NOT ANALYZED,N,N,N,N,S,C,5262009,,100  80,MINOR,MINOR,NONE,NONE,,,N,,123.6,N,,N,,,,,,,,,,,,,,,05/26/2009,,,,,,,CARGO,N
50467.01*A,AIRPORT,AK40,09/20/2012,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,MCGRATH,NIXON FORK MINE,PR,PR,BUREAU OF LAND MANAGEMENT,6881 ABBOTT LOOP ROAD,ANCHORAGE- AK 98507-2599,    907-267-1246,ANCHORAGE DISTRICT MANAGER,4700 BLM ROAD,ANCHORAGE- AK 98507-2599,    907-267-1246,63-13-45.0500N,227625.0500N,154-45-37.2100W,557137.2100W,E,1510,E,21E,1995,,MC GRATH,28,NE,   32,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,,02/01/2000,O,,,NO OBJECTION,,,,,2,N,2012000,7142011,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,Y
50470.1*A,AIRPORT,AK06,09/20/2012,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,MCKINLEY PARK,DENALI,PR,PR,RONALD ROSSO,PO BOX 82,DENALI NATIONAL PARK- AK 99755,    907-683-2261,RONALD ROSSO,PO BOX 82,DENALI NATIONAL PARK- AK 99755,    907-748-2800,63-38-42.3580N,229122.3580N,148-47-53.2700W,535673.2700W,E,2050,E,27E,1985,,ANCHORAGE,4,SW,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,N,06/01/1961,O,,,NOT ANALYZED,N,N,N,N,2,F,6101977,,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,5,,,,,,,,,2000,100,100,,06/10/1977,,,,,,,,Y
50470.*A,AIRPORT,INR,09/20/2012,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,MCKINLEY PARK,MC KINLEY NATIONAL PARK,PU,PU,U S GOVT NATL PK SERVICE,PO BOX 9,DENALI NATL PARK- AK 99755,    907-683-2294,SUPERINTENDENT- DENALI NAT. PARK,PO BOX 9,DENALI NATL PARK- AK 99755,    907-683-9581,63-43-57.3540N,229437.3540N,148-54-38.2980W,536078.2980W,E,1720,E,27E,1985,,ANCHORAGE,2,NE,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,INR,Y,,O,,,NO OBJECTION,N,N,N,Y,S,C,5302010,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,4,2,,1,,,,,,1000,500,1700,,12/31/2005,,,,,,TIE,CHTR,Y
50485.*A,AIRPORT,24AK,09/20/2012,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,MEADOW LAKES,TOAD LAKE STRIP,PR,PR,RICHARD P. ELMQUIST,PO BOX 940232,HOUSTON- AK 99694,    907-892-5767,RICHARD P. ELMQUIST,10357 KING ARTHUR DR. W,MEADOWLAKES- AK 99629,    907-892-5767,61-36-56.7000N,221816.7000N,149-42-24.9500W,538944.9500W,E,100,E,22E,2000,,ANCHORAGE,5,SE,   55,ZAN,ZAN,ANCHORAGE,,,,,ENA,KENAI,800-478-3576,1-866-864-1737,,,,,,06/01/2002,O,,,NO OBJECTION,,,,,2,N,,11222010,,,,,,,,N,,,N,,,,0,,,,,,,,,,,,,,OWNER,2000-02-25 00:00:00.0,OWNER,2000-02-25 00:00:00.0,,,,
50488.5*A,AIRPORT,MYU,09/20/2012,AAL,NONE,AK,ALASKA,BETHEL,AK,MEKORYUK,MEKORYUK,PU,PU,STATE OF AK DOTPF/CE REGION,PO BOX 196900,ANCHORAGE- AK 99519-6900,    907-269-0747,DAVID CUMMINGS,BOX 505,BETHEL- AK 99559,    907-543-2495,60-22-17.1120N,217337.1120N,166-16-14.1900W,598574.1900W,E,48,E,13E,2005,,BETHEL,3,W,  575,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,MYU,Y,10/01/1960,O,,NGY,NO OBJECTION,N,N,N,Y,S,C,8262005,,,NONE,NONE,NONE,NONE,,SEE RMK,N,,122.9,Y,CG,N,,0,0,0,0,,,,,,,,,,08/26/2005,,,REGION,2003-10-27 00:00:00.0,,,,Y-L
50489.*C,SEAPLANE BASE,MTM,09/20/2012,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,METLAKATLA,METLAKATLA,PU,PU,STATE OF AK DOTPF-SE-REG,6860 GLACIER HWY,JUNEAU- AK 99801-7999,    907-465-1786,PAUL KHERA,P.O. BOX 112506,JUNEAU- AK 99811-2506,    907-465-1786,55-07-51.7630N,198471.7630N,131-34-41.0430W,473681.0430W,E,0,E,26E,1985,,KETCHIKAN,0,N,,ZAN,ZAN,ANCHORAGE,,,,N,KTN,KETCHIKAN,907-225-9481,LC225-9481,JNU,JUNEAU,1-800-WX-BRIEF,MTM,Y,12/01/1950,O,,NGY,NO OBJECTION,N,N,N,N,S,C,8272010,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,0,0,0,0,,,,,,250,,75,,12/31/2006,,,,,,,CARGO,N
50490.*C,SEAPLANE BASE,84K,09/20/2012,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,MEYERS CHUCK,MEYERS CHUCK,PU,PU,STATE OF AK DOTPF-SE-REG,6860 GLACIER HWY,JUNEAU- AK 99801-7999,    907-465-1786,PAUL KHERA,P.O. 112506,JUNEAU- AK 99811,    907-465-1786,55-44-22.6900N,200662.6900N,132-15-18.0660W,476118.0660W,E,0,E,26E,1985,,KETCHIKAN,0,W,,ZAN,ZAN,ANCHORAGE,,,,N,KTN,KETCHIKAN,907-225-9481,LC225-9481,JNU,JUNEAU,1-800-WX-BRIEF,KTN,Y,04/01/1962,O,,N,NO OBJECTION,N,N,N,N,S,C,9042010,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,0,0,0,0,,,,,,300,,30,,12/31/2006,,,,,,,,N
